country_code,country_name,year,gini,home_ownership_rate,unemployment_rate,early_leavers,healthy_life_years,gdp_capita_real,inflation_rate
AT,Austria,2014,27.6,57.2,6.0,7.0,57.7,43070.0,1.5
AT,Austria,2015,27.2,55.7,6.1,7.3,58.0,43200.0,0.8
AT,Austria,2016,27.2,55.0,6.5,6.9,57.0,43550.0,1.0
AT,Austria,2017,27.9,55.0,5.9,7.4,57.1,44260.0,2.2
AT,Austria,2018,26.8,55.4,5.2,7.3,56.9,45140.0,2.1
AT,Austria,2019,27.5,55.2,4.8,7.8,57.3,45730.0,1.5
AT,Austria,2020,27.0,55.3,6.0,8.1,58.7,42650.0,1.4
AT,Austria,2021,26.7,54.2,6.2,8.0,61.8,44580.0,2.8
AT,Austria,2022,27.8,51.4,4.8,8.4,60.9,46430.0,8.6
AT,Austria,2023,28.1,54.3,5.1,8.6,60.4,45670.0,7.7
AT,Austria,2024,28.4,54.5,5.2,8.1,60.4,45140.0,2.9
BE,Belgium,2014,25.9,72.0,8.7,9.8,64.1,39960.0,0.5
BE,Belgium,2015,26.2,71.4,8.7,10.1,64.2,40310.0,0.6
BE,Belgium,2016,26.3,70.9,7.9,8.8,63.7,40590.0,1.8
BE,Belgium,2017,26.1,72.4,7.2,8.9,63.7,41030.0,2.2
BE,Belgium,2018,25.7,72.3,6.0,8.6,63.4,41610.0,2.3
BE,Belgium,2019,25.1,71.4,5.5,8.4,62.4,42400.0,1.3
BE,Belgium,2020,25.3,71.1,5.8,8.1,63.8,40190.0,0.4
BE,Belgium,2021,24.1,71.3,6.3,6.7,64.6,42530.0,3.2
BE,Belgium,2022,24.7,72.4,5.6,6.4,63.7,43860.0,10.3
BE,Belgium,2023,24.3,71.9,5.5,6.2,64.0,44230.0,2.3
BE,Belgium,2024,24.6,70.3,5.7,7.0,64.0,44440.0,4.3
CY,Cyprus,2014,34.8,72.9,16.1,6.8,66.0,20490.0,-0.3
CY,Cyprus,2015,33.6,73.0,15.0,5.2,63.3,21140.0,-1.5
CY,Cyprus,2016,32.1,72.5,13.0,7.6,68.2,22410.0,-1.2
CY,Cyprus,2017,30.8,70.7,11.1,8.5,65.2,23500.0,0.7
CY,Cyprus,2018,29.1,70.1,8.4,7.8,62.2,24690.0,0.8
CY,Cyprus,2019,31.5,70.0,7.2,9.0,62.5,25790.0,0.5
CY,Cyprus,2020,29.3,70.9,7.6,11.6,62.9,24630.0,-1.1
CY,Cyprus,2021,29.3,71.3,7.2,9.8,65.7,27030.0,2.3
CY,Cyprus,2022,29.0,70.5,6.3,8.2,66.0,28730.0,8.1
CY,Cyprus,2023,29.3,70.1,5.8,10.4,65.0,29200.0,3.9
CY,Cyprus,2024,30.1,69.4,4.9,11.3,65.0,29820.0,2.3
