country_code,country_name,year,variable,valor
AT,Austria,2014,gini,27.6
AT,Austria,2015,gini,27.2
AT,Austria,2016,gini,27.2
AT,Austria,2017,gini,27.9
AT,Austria,2018,gini,26.8
AT,Austria,2019,gini,27.5
AT,Austria,2020,gini,27.0
AT,Austria,2021,gini,26.7
AT,Austria,2022,gini,27.8
AT,Austria,2023,gini,28.1
AT,Austria,2024,gini,28.4
BE,Belgium,2014,gini,25.9
BE,Belgium,2015,gini,26.2
BE,Belgium,2016,gini,26.3
BE,Belgium,2017,gini,26.1
BE,Belgium,2018,gini,25.7
BE,Belgium,2019,gini,25.1
BE,Belgium,2020,gini,25.3
BE,Belgium,2021,gini,24.1
BE,Belgium,2022,gini,24.7
BE,Belgium,2023,gini,24.3
BE,Belgium,2024,gini,24.6
CY,Cyprus,2014,gini,34.8
CY,Cyprus,2015,gini,33.6
CY,Cyprus,2016,gini,32.1
CY,Cyprus,2017,gini,30.8
CY,Cyprus,2018,gini,29.1
CY,Cyprus,2019,gini,31.5
CY,Cyprus,2020,gini,29.3
CY,Cyprus,2021,gini,29.3
CY,Cyprus,2022,gini,29.0
CY,Cyprus,2023,gini,29.3
CY,Cyprus,2024,gini,30.1
DE,Germany,2014,gini,30.7
DE,Germany,2015,gini,30.1
DE,Germany,2016,gini,29.5
DE,Germany,2017,gini,29.1
DE,Germany,2018,gini,31.1
DE,Germany,2019,gini,29.7
DE,Germany,2020,gini,30.5
DE,Germany,2021,gini,31.2
DE,Germany,2022,gini,29.0
DE,Germany,2023,gini,29.4
DE,Germany,2024,gini,29.5
EE,Estonia,2014,gini,35.6
EE,Estonia,2015,gini,34.8
EE,Estonia,2016,gini,32.7
EE,Estonia,2017,gini,31.6
EE,Estonia,2018,gini,30.6
EE,Estonia,2019,gini,30.5
EE,Estonia,2020,gini,30.5
EE,Estonia,2021,gini,30.6
EE,Estonia,2022,gini,31.9
EE,Estonia,2023,gini,31.8
EE,Estonia,2024,gini,30.8
EL,Greece,2014,gini,34.5
EL,Greece,2015,gini,34.2
EL,Greece,2016,gini,34.3
EL,Greece,2017,gini,33.4
EL,Greece,2018,gini,32.3
EL,Greece,2019,gini,31.0
EL,Greece,2020,gini,31.4
EL,Greece,2021,gini,32.4
EL,Greece,2022,gini,31.4
EL,Greece,2023,gini,31.8
EL,Greece,2024,gini,31.8
ES,Spain,2014,gini,34.7
ES,Spain,2015,gini,34.6
ES,Spain,2016,gini,34.5
ES,Spain,2017,gini,34.1
ES,Spain,2018,gini,33.2
ES,Spain,2019,gini,33.0
ES,Spain,2020,gini,32.1
ES,Spain,2021,gini,33.0
ES,Spain,2022,gini,32.0
ES,Spain,2023,gini,31.5
ES,Spain,2024,gini,31.2
FI,Finland,2014,gini,25.6
FI,Finland,2015,gini,25.2
FI,Finland,2016,gini,25.4
FI,Finland,2017,gini,25.3
FI,Finland,2018,gini,25.9
FI,Finland,2019,gini,26.2
FI,Finland,2020,gini,26.5
FI,Finland,2021,gini,25.7
FI,Finland,2022,gini,26.6
FI,Finland,2023,gini,26.6
FI,Finland,2024,gini,26.1
FR,France,2014,gini,29.2
FR,France,2015,gini,29.2
FR,France,2016,gini,29.3
FR,France,2017,gini,28.8
FR,France,2018,gini,28.5
FR,France,2019,gini,29.2
FR,France,2020,gini,29.2
FR,France,2021,gini,29.3
FR,France,2022,gini,29.8
FR,France,2023,gini,29.7
FR,France,2024,gini,30.0
HR,Croatia,2014,gini,30.2
HR,Croatia,2015,gini,30.4
HR,Croatia,2016,gini,29.8
HR,Croatia,2017,gini,29.9
HR,Croatia,2018,gini,29.7
HR,Croatia,2019,gini,29.2
HR,Croatia,2020,gini,28.3
HR,Croatia,2021,gini,29.2
HR,Croatia,2022,gini,28.5
HR,Croatia,2023,gini,29.7
HR,Croatia,2024,gini,29.8
IE,Ireland,2014,gini,31.0
IE,Ireland,2015,gini,29.7
IE,Ireland,2016,gini,29.6
IE,Ireland,2017,gini,30.6
IE,Ireland,2018,gini,28.9
IE,Ireland,2019,gini,28.0
IE,Ireland,2020,gini,27.6
IE,Ireland,2021,gini,26.6
IE,Ireland,2022,gini,26.9
IE,Ireland,2023,gini,27.4
IE,Ireland,2024,gini,26.4
IT,Italy,2014,gini,32.4
IT,Italy,2015,gini,32.4
IT,Italy,2016,gini,33.1
IT,Italy,2017,gini,32.7
IT,Italy,2018,gini,33.4
IT,Italy,2019,gini,32.8
IT,Italy,2020,gini,32.5
IT,Italy,2021,gini,32.9
IT,Italy,2022,gini,32.7
IT,Italy,2023,gini,31.5
IT,Italy,2024,gini,32.2
LT,Lithuania,2014,gini,35.0
LT,Lithuania,2015,gini,37.9
LT,Lithuania,2016,gini,37.0
LT,Lithuania,2017,gini,37.6
LT,Lithuania,2018,gini,36.9
LT,Lithuania,2019,gini,35.4
LT,Lithuania,2020,gini,35.1
LT,Lithuania,2021,gini,35.4
LT,Lithuania,2022,gini,36.2
LT,Lithuania,2023,gini,35.7
LT,Lithuania,2024,gini,35.3
LU,Luxembourg,2014,gini,28.7
LU,Luxembourg,2015,gini,28.5
LU,Luxembourg,2016,gini,29.6
LU,Luxembourg,2017,gini,29.2
LU,Luxembourg,2018,gini,31.3
LU,Luxembourg,2019,gini,32.3
LU,Luxembourg,2020,gini,31.2
LU,Luxembourg,2021,gini,29.6
LU,Luxembourg,2022,gini,29.1
LU,Luxembourg,2023,gini,30.6
LU,Luxembourg,2024,gini,30.1
LV,Latvia,2014,gini,35.5
LV,Latvia,2015,gini,35.4
LV,Latvia,2016,gini,34.5
LV,Latvia,2017,gini,34.5
LV,Latvia,2018,gini,35.6
LV,Latvia,2019,gini,35.2
LV,Latvia,2020,gini,34.5
LV,Latvia,2021,gini,35.7
LV,Latvia,2022,gini,34.3
LV,Latvia,2023,gini,34.0
LV,Latvia,2024,gini,34.2
MT,Malta,2014,gini,27.7
MT,Malta,2015,gini,28.1
MT,Malta,2016,gini,28.6
MT,Malta,2017,gini,28.2
MT,Malta,2018,gini,28.7
MT,Malta,2019,gini,28.0
MT,Malta,2020,gini,30.3
MT,Malta,2021,gini,31.2
MT,Malta,2022,gini,31.1
MT,Malta,2023,gini,33.0
MT,Malta,2024,gini,30.8
NL,Netherlands,2014,gini,26.2
NL,Netherlands,2015,gini,26.7
NL,Netherlands,2016,gini,26.9
NL,Netherlands,2017,gini,27.1
NL,Netherlands,2018,gini,27.4
NL,Netherlands,2019,gini,26.8
NL,Netherlands,2020,gini,28.2
NL,Netherlands,2021,gini,26.4
NL,Netherlands,2022,gini,26.3
NL,Netherlands,2023,gini,26.5
NL,Netherlands,2024,gini,25.9
PT,Portugal,2014,gini,34.5
PT,Portugal,2015,gini,34.0
PT,Portugal,2016,gini,33.9
PT,Portugal,2017,gini,33.5
PT,Portugal,2018,gini,32.1
PT,Portugal,2019,gini,31.9
PT,Portugal,2020,gini,31.2
PT,Portugal,2021,gini,33.0
PT,Portugal,2022,gini,32.0
PT,Portugal,2023,gini,33.7
PT,Portugal,2024,gini,31.9
SI,Slovenia,2014,gini,25.0
SI,Slovenia,2015,gini,24.5
SI,Slovenia,2016,gini,24.4
SI,Slovenia,2017,gini,23.7
SI,Slovenia,2018,gini,23.4
SI,Slovenia,2019,gini,23.9
SI,Slovenia,2020,gini,23.5
SI,Slovenia,2021,gini,23.0
SI,Slovenia,2022,gini,23.1
SI,Slovenia,2023,gini,23.4
SI,Slovenia,2024,gini,23.8
SK,Slovakia,2014,gini,26.1
SK,Slovakia,2015,gini,23.7
SK,Slovakia,2016,gini,24.3
SK,Slovakia,2017,gini,23.2
SK,Slovakia,2018,gini,20.9
