country,year,gdp_capita_real
BE,2000,35370.0
BE,2001,35640.0
BE,2002,36080.0
BE,2003,36300.0
BE,2004,37440.0
BE,2005,38100.0
BE,2006,38810.0
BE,2007,39950.0
BE,2008,39810.0
BE,2009,38740.0
BE,2010,39420.0
BE,2011,39670.0
BE,2012,39510.0
BE,2013,39440.0
BE,2014,39960.0
BE,2015,40310.0
BE,2016,40590.0
BE,2017,41030.0
BE,2018,41610.0
BE,2019,42400.0
BE,2020,40190.0
BE,2021,42530.0
BE,2022,43860.0
BE,2023,44230.0
BE,2024,44440.0
BE,2025,44670.0
DE,2000,34690.0
DE,2001,35240.0
DE,2002,35130.0
DE,2003,34960.0
DE,2004,35400.0
DE,2005,35770.0
DE,2006,37230.0
DE,2007,38390.0
DE,2008,38840.0
DE,2009,36810.0
DE,2010,38430.0
DE,2011,39880.0
DE,2012,40010.0
DE,2013,40100.0
DE,2014,40850.0
DE,2015,41230.0
DE,2016,41880.0
DE,2017,42960.0
DE,2018,43390.0
DE,2019,43790.0
DE,2020,42020.0
DE,2021,43730.0
DE,2022,44230.0
DE,2023,43450.0
DE,2024,43110.0
DE,2025,43210.0
EE,2000,10480.0
EE,2001,11160.0
EE,2002,12020.0
EE,2003,13010.0
EE,2004,13980.0
EE,2005,15400.0
EE,2006,17010.0
EE,2007,18400.0
EE,2008,17510.0
EE,2009,14980.0
EE,2010,15380.0
EE,2011,16590.0
EE,2012,17260.0
EE,2013,17630.0
EE,2014,18280.0
EE,2015,18650.0
EE,2016,19190.0
EE,2017,20270.0
EE,2018,20970.0
EE,2019,21650.0
EE,2020,20960.0
EE,2021,22670.0
EE,2022,22370.0
EE,2023,21210.0
EE,2024,21060.0
EE,2025,21250.0
IE,2000,39880.0
IE,2001,41350.0
IE,2002,43030.0
IE,2003,43600.0
IE,2004,45760.0
IE,2005,47310.0
IE,2006,48390.0
IE,2007,49450.0
IE,2008,46230.0
IE,2009,43450.0
IE,2010,43990.0
IE,2011,44510.0
IE,2012,44150.0
IE,2013,44890.0
IE,2014,48770.0
IE,2015,60210.0
IE,2016,60220.0
IE,2017,65370.0
IE,2018,69390.0
IE,2019,71720.0
IE,2020,75820.0
IE,2021,87160.0
IE,2022,91760.0
IE,2023,87810.0
IE,2024,88600.0
IE,2025,97990.0
EL,2000,16120.0
EL,2001,16780.0
EL,2002,17510.0
EL,2003,18480.0
EL,2004,19420.0
EL,2005,19590.0
EL,2006,20790.0
EL,2007,21470.0
EL,2008,21420.0
EL,2009,20490.0
EL,2010,19300.0
EL,2011,17420.0
EL,2012,16050.0
EL,2013,15800.0
EL,2014,16030.0
EL,2015,16100.0
EL,2016,16160.0
EL,2017,16430.0
EL,2018,16810.0
EL,2019,17210.0
EL,2020,15660.0
EL,2021,17110.0
EL,2022,18160.0
EL,2023,18600.0
EL,2024,19020.0
EL,2025,19400.0
ES,2000,22930.0
ES,2001,23700.0
ES,2002,23970.0
ES,2003,24220.0
ES,2004,24590.0
