country,year,gini
BE,2014,25.9
BE,2015,26.2
BE,2016,26.3
BE,2017,26.1
BE,2018,25.7
BE,2019,25.1
BE,2020,25.3
BE,2021,24.1
BE,2022,24.7
BE,2023,24.3
BE,2024,24.6
BE,2025,23.4
DE,2014,30.7
DE,2015,30.1
DE,2016,29.5
DE,2017,29.1
DE,2018,31.1
DE,2019,29.7
DE,2020,30.5
DE,2021,31.2
DE,2022,29.0
DE,2023,29.4
DE,2024,29.5
DE,2025,30.1
EE,2014,35.6
EE,2015,34.8
EE,2016,32.7
EE,2017,31.6
EE,2018,30.6
EE,2019,30.5
EE,2020,30.5
EE,2021,30.6
EE,2022,31.9
EE,2023,31.8
EE,2024,30.8
EE,2025,30.9
IE,2014,31.0
IE,2015,29.7
IE,2016,29.6
IE,2017,30.6
IE,2018,28.9
IE,2019,28.0
IE,2020,27.6
IE,2021,26.6
IE,2022,26.9
IE,2023,27.4
IE,2024,26.4
IE,2025,
EL,2014,34.5
EL,2015,34.2
EL,2016,34.3
EL,2017,33.4
EL,2018,32.3
EL,2019,31.0
EL,2020,31.4
EL,2021,32.4
EL,2022,31.4
EL,2023,31.8
EL,2024,31.8
EL,2025,
ES,2014,34.7
ES,2015,34.6
ES,2016,34.5
ES,2017,34.1
ES,2018,33.2
ES,2019,33.0
ES,2020,32.1
ES,2021,33.0
ES,2022,32.0
ES,2023,31.5
ES,2024,31.2
ES,2025,30.8
FR,2014,29.2
FR,2015,29.2
FR,2016,29.3
FR,2017,28.8
FR,2018,28.5
FR,2019,29.2
FR,2020,29.2
FR,2021,29.3
FR,2022,29.8
FR,2023,29.7
FR,2024,30.0
FR,2025,
HR,2014,30.2
HR,2015,30.4
HR,2016,29.8
HR,2017,29.9
HR,2018,29.7
HR,2019,29.2
HR,2020,28.3
HR,2021,29.2
HR,2022,28.5
HR,2023,29.7
HR,2024,29.8
HR,2025,
IT,2014,32.4
IT,2015,32.4
IT,2016,33.1
IT,2017,32.7
IT,2018,33.4
IT,2019,32.8
IT,2020,32.5
IT,2021,32.9
IT,2022,32.7
IT,2023,31.5
IT,2024,32.2
IT,2025,31.0
CY,2014,34.8
CY,2015,33.6
CY,2016,32.1
CY,2017,30.8
CY,2018,29.1
CY,2019,31.5
CY,2020,29.3
CY,2021,29.3
CY,2022,29.0
CY,2023,29.3
CY,2024,30.1
CY,2025,
LV,2014,35.5
LV,2015,35.4
LV,2016,34.5
LV,2017,34.5
LV,2018,35.6
LV,2019,35.2
LV,2020,34.5
LV,2021,35.7
LV,2022,34.3
LV,2023,34.0
LV,2024,34.2
LV,2025,35.6
LT,2014,35.0
LT,2015,37.9
LT,2016,37.0
LT,2017,37.6
LT,2018,36.9
LT,2019,35.4
LT,2020,35.1
LT,2021,35.4
LT,2022,36.2
LT,2023,35.7
LT,2024,35.3
LT,2025,
LU,2014,28.7
LU,2015,28.5
LU,2016,29.6
LU,2017,29.2
LU,2018,31.3
LU,2019,32.3
LU,2020,31.2
LU,2021,29.6
LU,2022,29.1
LU,2023,30.6
LU,2024,30.1
LU,2025,
MT,2014,27.7
MT,2015,28.1
MT,2016,28.6
MT,2017,28.2
MT,2018,28.7
MT,2019,28.0
MT,2020,30.3
MT,2021,31.2
MT,2022,31.1
MT,2023,33.0
MT,2024,30.8
MT,2025,
NL,2014,26.2
NL,2015,26.7
NL,2016,26.9
NL,2017,27.1
NL,2018,27.4
NL,2019,26.8
NL,2020,28.2
NL,2021,26.4
NL,2022,26.3
NL,2023,26.5
NL,2024,25.9
NL,2025,25.9
AT,2014,27.6
AT,2015,27.2
AT,2016,27.2
AT,2017,27.9
AT,2018,26.8
AT,2019,27.5
AT,2020,27.0
AT,2021,26.7
AT,2022,27.8
AT,2023,28.1
AT,2024,28.4
AT,2025,
PT,2014,34.5
PT,2015,34.0
PT,2016,33.9
PT,2017,33.5
PT,2018,32.1
PT,2019,31.9
PT,2020,31.2
PT,2021,33.0
PT,2022,32.0
PT,2023,33.7
PT,2024,31.9
PT,2025,30.9
SI,2014,25.0
SI,2015,24.5
SI,2016,24.4
SI,2017,23.7
SI,2018,23.4
SI,2019,23.9
SI,2020,23.5
SI,2021,23.0
SI,2022,23.1
SI,2023,23.4
SI,2024,23.8
SI,2025,24.6
SK,2014,26.1
SK,2015,23.7
SK,2016,24.3
SK,2017,23.2
SK,2018,20.9
SK,2019,22.8
SK,2020,20.9
SK,2021,21.8
SK,2022,21.2
SK,2023,21.6
SK,2024,21.7
SK,2025,
FI,2014,25.6
FI,2015,25.2
FI,2016,25.4
FI,2017,25.3
FI,2018,25.9
FI,2019,26.2
FI,2020,26.5
FI,2021,25.7
FI,2022,26.6
FI,2023,26.6
FI,2024,26.1
FI,2025,27.1
