country,year,home_ownership_rate
BE,2003,72.7
BE,2004,72.2
BE,2005,72.2
BE,2006,73.7
BE,2007,72.9
BE,2008,73.1
BE,2009,72.7
BE,2010,71.6
BE,2011,71.8
BE,2012,72.4
BE,2013,72.3
BE,2014,72.0
BE,2015,71.4
BE,2016,70.9
BE,2017,72.4
BE,2018,72.3
BE,2019,71.4
BE,2020,71.1
BE,2021,71.3
BE,2022,72.4
BE,2023,71.9
BE,2024,70.3
BE,2025,70.9
DE,2003,
DE,2004,
DE,2005,53.3
DE,2006,
DE,2007,
DE,2008,
DE,2009,
DE,2010,53.2
DE,2011,53.4
DE,2012,53.3
DE,2013,52.6
DE,2014,52.5
DE,2015,51.9
DE,2016,51.7
DE,2017,51.4
DE,2018,51.5
DE,2019,51.1
DE,2020,50.5
DE,2021,49.1
DE,2022,46.5
DE,2023,47.6
DE,2024,47.2
DE,2025,47.2
EE,2003,
EE,2004,
EE,2005,
EE,2006,87.8
EE,2007,86.8
EE,2008,88.9
EE,2009,87.1
EE,2010,85.5
EE,2011,83.5
EE,2012,82.2
EE,2013,81.1
EE,2014,81.5
EE,2015,81.5
EE,2016,81.4
EE,2017,81.8
EE,2018,82.4
EE,2019,81.7
EE,2020,81.4
EE,2021,81.6
EE,2022,82.0
EE,2023,80.7
EE,2024,79.3
EE,2025,79.7
IE,2003,79.8
IE,2004,81.8
IE,2005,78.2
IE,2006,78.0
IE,2007,78.1
IE,2008,77.3
IE,2009,73.7
IE,2010,73.3
IE,2011,70.2
IE,2012,69.6
IE,2013,69.9
IE,2014,68.4
IE,2015,69.6
IE,2016,69.5
IE,2017,69.5
IE,2018,70.3
IE,2019,68.9
IE,2020,69.6
IE,2021,69.8
IE,2022,70.5
IE,2023,69.4
IE,2024,69.3
IE,2025,
EL,2003,75.3
EL,2004,
EL,2005,
EL,2006,
EL,2007,75.6
EL,2008,76.7
EL,2009,76.4
EL,2010,77.2
EL,2011,75.9
EL,2012,75.9
EL,2013,75.8
EL,2014,74.0
EL,2015,75.1
EL,2016,73.9
EL,2017,73.3
EL,2018,73.5
EL,2019,75.4
EL,2020,73.9
EL,2021,73.3
EL,2022,72.8
EL,2023,69.6
EL,2024,69.7
EL,2025,
ES,2003,
ES,2004,
ES,2005,
ES,2006,
ES,2007,80.6
ES,2008,80.2
ES,2009,79.6
ES,2010,79.8
ES,2011,79.7
ES,2012,78.9
ES,2013,77.7
ES,2014,78.8
ES,2015,78.2
ES,2016,77.8
ES,2017,77.1
ES,2018,76.3
ES,2019,76.2
ES,2020,75.1
ES,2021,75.8
ES,2022,76.0
ES,2023,75.3
ES,2024,73.7
ES,2025,73.6
FR,2003,
FR,2004,
FR,2005,61.8
FR,2006,62.5
FR,2007,60.5
FR,2008,62.1
FR,2009,63.0
FR,2010,62.0
FR,2011,63.1
FR,2012,63.7
FR,2013,64.3
FR,2014,65.0
FR,2015,64.1
FR,2016,64.9
FR,2017,64.4
