country,year,inflation_rate
BE,2014,0.5
BE,2015,0.6
BE,2016,1.8
BE,2017,2.2
BE,2018,2.3
BE,2019,1.3
BE,2020,0.4
BE,2021,3.2
BE,2022,10.3
BE,2023,2.3
BE,2024,4.3
BE,2025,3.0
DE,2014,0.8
DE,2015,0.7
DE,2016,0.4
DE,2017,1.7
DE,2018,1.9
DE,2019,1.4
DE,2020,0.4
DE,2021,3.2
DE,2022,8.7
DE,2023,6.0
DE,2024,2.5
DE,2025,2.3
EE,2014,0.5
EE,2015,0.1
EE,2016,0.8
EE,2017,3.7
EE,2018,3.4
EE,2019,2.3
EE,2020,-0.6
EE,2021,4.5
EE,2022,19.4
EE,2023,9.1
EE,2024,3.7
EE,2025,4.8
IE,2014,0.3
IE,2015,0.0
IE,2016,-0.2
IE,2017,0.3
IE,2018,0.7
IE,2019,0.9
IE,2020,-0.5
IE,2021,2.4
IE,2022,8.1
IE,2023,5.2
IE,2024,1.3
IE,2025,2.1
EL,2014,-1.4
EL,2015,-1.1
EL,2016,0.0
EL,2017,1.1
EL,2018,0.8
EL,2019,0.5
EL,2020,-1.3
EL,2021,0.6
EL,2022,9.3
EL,2023,4.2
EL,2024,3.0
EL,2025,2.9
ES,2014,-0.2
ES,2015,-0.6
ES,2016,-0.3
ES,2017,2.0
ES,2018,1.7
ES,2019,0.8
ES,2020,-0.3
ES,2021,3.0
ES,2022,8.3
ES,2023,3.4
ES,2024,2.9
ES,2025,2.7
FR,2014,0.6
FR,2015,0.1
FR,2016,0.3
FR,2017,1.2
FR,2018,2.1
FR,2019,1.3
FR,2020,0.5
FR,2021,2.1
FR,2022,5.9
FR,2023,5.7
FR,2024,2.3
FR,2025,0.9
HR,2014,0.2
HR,2015,-0.3
HR,2016,-0.6
HR,2017,1.3
HR,2018,1.6
HR,2019,0.8
HR,2020,0.0
HR,2021,2.7
HR,2022,10.7
HR,2023,8.4
HR,2024,4.0
HR,2025,4.4
IT,2014,0.2
IT,2015,0.2
IT,2016,-0.1
IT,2017,1.3
IT,2018,1.2
IT,2019,0.7
IT,2020,-0.2
IT,2021,2.0
IT,2022,8.7
IT,2023,5.9
IT,2024,1.1
IT,2025,1.6
CY,2014,-0.3
CY,2015,-1.5
CY,2016,-1.2
CY,2017,0.7
CY,2018,0.8
CY,2019,0.5
CY,2020,-1.1
CY,2021,2.3
CY,2022,8.1
CY,2023,3.9
CY,2024,2.3
CY,2025,0.8
LV,2014,0.7
LV,2015,0.2
LV,2016,0.1
LV,2017,2.9
LV,2018,2.6
LV,2019,2.7
LV,2020,0.1
LV,2021,3.2
LV,2022,17.2
LV,2023,9.1
LV,2024,1.3
LV,2025,3.8
LT,2014,0.2
LT,2015,-0.7
LT,2016,0.7
LT,2017,3.7
LT,2018,2.5
LT,2019,2.2
LT,2020,1.1
LT,2021,4.6
LT,2022,18.9
LT,2023,8.7
LT,2024,0.9
LT,2025,3.4
LU,2014,0.7
LU,2015,0.1
LU,2016,0.0
LU,2017,2.1
LU,2018,2.0
LU,2019,1.7
LU,2020,0.0
LU,2021,3.5
LU,2022,8.2
LU,2023,2.9
LU,2024,2.3
LU,2025,2.5
MT,2014,0.8
MT,2015,1.2
MT,2016,0.9
MT,2017,1.3
MT,2018,1.7
MT,2019,1.5
MT,2020,0.8
MT,2021,0.7
MT,2022,6.1
MT,2023,5.6
MT,2024,2.4
MT,2025,2.4
NL,2014,0.3
NL,2015,0.2
NL,2016,0.1
NL,2017,1.3
NL,2018,1.6
NL,2019,2.7
NL,2020,1.1
NL,2021,2.8
NL,2022,11.6
NL,2023,4.1
NL,2024,3.2
NL,2025,3.0
AT,2014,1.5
AT,2015,0.8
AT,2016,1.0
AT,2017,2.2
AT,2018,2.1
AT,2019,1.5
AT,2020,1.4
AT,2021,2.8
AT,2022,8.6
AT,2023,7.7
AT,2024,2.9
AT,2025,3.6
PT,2014,-0.2
PT,2015,0.5
PT,2016,0.6
PT,2017,1.6
PT,2018,1.2
PT,2019,0.3
PT,2020,-0.1
PT,2021,0.9
PT,2022,8.1
PT,2023,5.3
PT,2024,2.7
PT,2025,2.2
SI,2014,0.4
SI,2015,-0.8
SI,2016,-0.2
SI,2017,1.6
SI,2018,1.9
SI,2019,1.7
SI,2020,-0.3
SI,2021,2.0
SI,2022,9.3
SI,2023,7.2
SI,2024,2.0
SI,2025,2.5
SK,2014,-0.1
SK,2015,-0.3
SK,2016,-0.5
SK,2017,1.4
SK,2018,2.5
SK,2019,2.8
SK,2020,2.0
SK,2021,2.8
SK,2022,12.1
SK,2023,11.0
SK,2024,3.2
SK,2025,4.2
FI,2014,1.2
FI,2015,-0.2
FI,2016,0.4
FI,2017,0.8
FI,2018,1.2
FI,2019,1.1
FI,2020,0.4
FI,2021,2.1
FI,2022,7.2
FI,2023,4.3
FI,2024,1.0
FI,2025,1.8
